"package","fun","location","scale","shape","fit","argdata","argthres","outputS4","outputS3","outputS3par","dfun","pfun","density comment","distribution comment"
"ercv",NA,NA,NA,NA,"fitpot","data","threshold",NA,"coeff",NA,NA,NA,NA,NA
"eva","gpd","loc","scale","shape","gpdFit","data","threshold",NA,"par.ests",NA,"dgpd","pgpd","correct","correct"
"evd","gpd","loc","scale","shape","fpot","x","threshold",NA,"estimate",NA,"dgpd","pgpd","incorrect for x = loc","correct"
"evir","gpd","mu","beta","xi","gpd","data","threshold",NA,"par.ests",NA,"dgpd","pgpd","incorrect for x < loc","incorrect outside support"
"extraDistr","gpd","mu","sigma","xi",NA,NA,NA,NA,NA,NA,"dgpd","pgpd","incorrect for x = loc","correct"
"extRemes","evd","loc","scale","shape","fevd","x","threshold",NA,"results","par","devd","pevd","incorrect for x = loc","correct"
"fExtremes","gpd","mu","beta","xi","gpdFit","x","u","fit","fit","par","dgpd","pgpd","incorrect for x = loc","correct"
"ismev",NA,NA,NA,NA,"gpd.fit","xdat","threshold",NA,"mle",NA,NA,NA,NA,NA
"lmom","gpa","xi","alpha","k",NA,NA,NA,NA,NA,NA,NA,"cdfgpa",NA,"incorrect outside support"
"lmomco","gpa","xi","alpha","kappa",NA,NA,NA,NA,NA,NA,"pdfgpa","cdfgpa","correct","incorrect outside support"
"mev","gp","loc","scale","shape","fit.gpd","xdat","threshold",NA,"estimate",NA,"dgp","pgp","correct","correct"
"POT","gpd","loc","scale","shape","fitgpd","data","threshold",NA,"fitted.values",NA,"dgpd","pgpd","incorrect for x = loc","correct"
"QRM","GPD",NA,"beta","xi","fit.GPD","data","threshold",NA,"par.ests",NA,"dGPD","pGPD","incorrect for x = loc","correct"
"qrmtools","GPD",NA,"scale","shape","fit_GPD_MLE","x",NA,NA,"par",NA,"dGPD","pGPD","correct","correct"
"ReIns","gpd","mu","sigma","gamma","GPDfit","data",NA,NA,NA,NA,"dgpd","pgpd","correct","correct"
"Renext","GPD","loc","scale","shape","fGPD","x",NA,NA,"estimate",NA,"dGPD","pGPD","incorrect for x = loc","correct"
"revdbayes","gp","loc","scale","shape",NA,NA,NA,NA,NA,NA,"dgp","pgp","correct","correct"
"SpatialExtremes","gpd","loc","scale","shape","gpdmle","x","threshold",NA,NA,NA,"dgpd","pgpd","incorrect for x = loc","correct"
"tea","gpd","loc","scale","shape","gpdFit","data","threshold",NA,"par.ests",NA,"dgpd","pgpd","correct","correct"
"texmex","gpd","u","sigma","xi","evm","y","th",NA,"coefficients",NA,"dgpd","pgpd","correct","correct"
"TLMoments","gpd","loc","scale","shape",NA,NA,NA,NA,NA,NA,"dgpd","pgpd","correct","correct"
